구분,개별단독,개별아파트(개인),개별아파트(상업),상업개인,상업법인,공공기관,학교,아파트(단지) 가입자수,아파트(단지) 세대수,학교(단지),건물(단지),합계 (가입자수),합계 (세대수)
울산 북구,583,5519,0,19,3,21,2,39,26749,4,0,6190,32900
울산 울주군,1953,5442,0,21,6,34,4,30,17250,1,0,7491,24711
울산 중구,1944,3847,1,535,9,51,2,44,21200,6,1,6440,27596
인천 강화군,1698,176,0,8,1,5,0,0,0,0,0,1888,1888
인천 계양구,2363,9938,0,49,4,2,0,26,13858,0,0,12382,26214
인천 남동구,3269,12229,3,72,6,5,1,80,73340,0,1,15666,88926
인천 동구,1080,2098,0,27,2,0,0,11,6490,0,0,3218,9697
인천 미추홀구,4743,8059,1,119,5,3,2,40,27431,1,0,12973,40364
인천 부평구,2949,8364,0,25,4,1,0,30,21714,0,0,11373,33057
인천 서구,3817,14850,0,48,8,44,0,103,64052,0,0,18870,82819
인천 연수구,1728,17602,0,48,4,2,2,40,27827,0,1,19427,47214
인천 옹진군,223,1,0,0,1,1,0,0,0,0,0,226,226
인천 중구,406,1287,0,8,3,0,1,11,6196,0,0,1716,7901
전남 강진군,553,237,0,1,0,2,0,0,0,0,0,793,793
전남 고흥군,2038,62,0,14,3,5,1,0,0,0,1,2124,2124
전남 곡성군,1937,65,0,3,0,3,0,0,0,0,0,2008,2008
전남 광양시,2877,9167,0,81,4,4,9,40,22617,1,0,12183,34760
전남 구례군,549,120,0,1,0,9,0,0,0,0,0,679,679
전남 나주시,1288,1281,0,34,1,3,5,4,2669,0,0,2616,5281
전남 담양군,3905,50,0,11,0,1,0,0,0,0,0,3967,3967
전남 목포시,1804,10978,1,45,0,20,2,14,9752,0,0,12864,22602
전남 무안군,560,787,0,4,0,9,0,1,2,0,0,1361,1362
전남 보성군,2015,212,0,1,0,0,0,0,0,0,0,2228,2228
전남 순천시,3958,19508,0,31,6,17,0,78,35918,0,2,23600,59440
전남 신안군,1169,0,0,0,0,33,0,0,0,0,0,1202,1202
전남 여수시,12068,9272,0,275,2,11,0,72,39064,0,1,21701,60693
전남 영광군,6003,431,0,8,5,3,0,0,0,0,0,6450,6450
전남 영암군,521,501,0,2,0,0,0,1,554,0,0,1025,1578
전남 완도군,787,275,0,1,0,12,0,0,0,0,1,1076,1076
전남 장성군,4064,143,0,0,0,1,0,0,0,0,0,4208,4208
전남 장흥군,759,238,0,0,1,2,0,1,318,0,0,1001,1318
전남 진도군,5351,147,0,3,0,3,0,0,0,0,0,5504,5504
전남 함평군,793,278,0,0,0,5,0,0,0,0,0,1076,1076
전남 해남군,335,139,0,2,0,1,0,9,1814,0,0,486,2291
전남 화순군,1185,958,0,17,1,0,0,2,392,0,0,2163,2553
전북 고창군,7829,1093,0,120,0,113,19,4,1442,0,1,9179,10617
